0, 0
100, -1
200, 1
300, 0
400, -2
500, 3
600, 0
700, 1
800, 0
900, 1
1000, 4
1100, -1
1200, -2
1300, 1
1400, -2
1500, 1
1600, -1
1700, -3
1800, 3
1900, -2
2000, -4
2100, 2
2200, 0
2300, -1
2400, 1
2500, 2
2600, 1
2700, 0
2800, -3
2900, 0
3000, -1
3100, -1
3200, -3
3300, 1
3400, 1
3500, -1
3600, -1
3700, 3
3800, 1
3900, 1
4000, 1
4100, -1
4200, -1
4300, -1
4400, -1
4500, -2
4600, 0
4700, 4
4800, 0
4900, 0
5000, 3
5100, -2
5200, 0
5300, -1
5400, -1
5500, -1
5600, 0
5700, 2
5800, -1
5900, -5
6000, 2
6100, 2
6200, 2
6300, -1
6400, 1
6500, -2
6600, 2
6700, -3
6800, 3
6900, -1
7000, 3
7100, -2
7200, 0
7300, 3
7400, 1
7500, 3
7600, -1
7700, -1
7800, 1
7900, 0
8000, -1
8100, 0
8200, 4
8300, -1
8400, -3
8500, -4
8600, -1
8700, 1
8800, -2
8900, 0
9000, 0
9100, 0
9200, 3
9300, -1
9400, 1
9500, 0
9600, -1
9700, 2
9800, 2
9900, 2
10000, 3
10100, -1
10200, 0
10300, 2
10400, -4
10500, -2
10600, 0
10700, -1
10800, 2
10900, 1
11000, 3
11100, 2
11200, -1
11300, -1
11400, 4
11500, 2
11600, -2
11700, -2
11800, 3
11900, -2
12000, 3
12100, 0
12200, -4
12300, 1
12400, 2
12500, -1
12600, -2
12700, 1
12800, 1
12900, -1
13000, -1
13100, -3
13200, 1
13300, 1
13400, -2
13500, 1
13600, -4
13700, 2
13800, 1
13900, 1
14000, -1
14100, -5
14200, 1
14300, 2
14400, 0
14500, 0
14600, 4
14700, -3
14800, 0
14900, -3
15000, -3
15100, -1
15200, 2
15300, 4
15400, -7
15500, -6
15600, -9
15700, 2
15800, 7
15900, 16
16000, 14
16100, 20
16200, -33
16300, -32
16400, -25
16500, 7
16600, 7
16700, -9
16800, 0
16900, -3
17000, -29
17100, 14
17200, -468
17300, 484
17400, 500
17500, -818
17600, 238
17700, -3664
17800, 1788
17900, -17518
18000, -2545
18100, 509
18200, -8728
18300, 6939
18400, 6479
18500, 7420
18600, 4882
18700, 3796
18800, -9022
18900, -4873
19000, -5231
19100, -3431
19200, -4064
19300, 446
19400, 1626
19500, -1322
19600, 493
19700, 11430
19800, 8303
19900, 8038
20000, 2567
20100, 5555
20200, 1709
20300, 5569
20400, -2336
20500, 4962
20600, -4488
20700, -9877
20800, -14501
20900, -5102
21000, 301
21100, -4224
21200, -11612
21300, -2858
21400, 1745
21500, -3529
21600, -1035
21700, 2946
21800, 11428
21900, 13805
22000, -1364
22100, 3281
22200, 2572
22300, 3623
22400, 5613
22500, 1150
22600, 3309
22700, 2496
22800, -9035
22900, -15274
23000, -7092
23100, -9361
23200, -1445
23300, -11811
23400, -5803
23500, -4185
23600, -251
23700, -5014
23800, 9263
23900, 8911
24000, 13363
24100, 4160
24200, 7816
24300, 13495
24400, 7133
24500, -126
24600, 8530
24700, 5869
24800, 2468
24900, -3229
25000, -6507
25100, -2729
25200, -7917
25300, -12612
25400, -7525
25500, 743
25600, -5391
25700, -6803
25800, -9864
25900, 4244
26000, 2750
26100, -2753
26200, 475
26300, 17287
26400, 8739
26500, 9372
26600, -762
26700, 2534
26800, 4511
26900, 1907
27000, -9045
27100, 4596
27200, -2369
27300, -7354
27400, -15092
27500, -5493
27600, 2755
27700, -897
27800, -11473
27900, -873
28000, 4014
28100, 4001
28200, 957
28300, 3169
28400, 13517
28500, 10722
28600, -592
28700, 2422
28800, 3009
28900, -88
29000, -639
29100, -7116
29200, -1852
29300, -6405
29400, -12442
29500, -13924
29600, -5632
29700, -10584
29800, -5701
29900, -9235
30000, -373
30100, 5212
30200, 4473
30300, -2808
30400, 11699
30500, 13607
30600, 14098
30700, 6285
30800, 8284
30900, 12517
31000, 5706
31100, -4972
31200, -1897
31300, -4715
31400, -8452
31500, -12179
31600, -14585
31700, -7272
31800, -8500
31900, -13578
32000, -5918
32100, 3199
32200, 797
32300, 3059
32400, 5085
32500, 14554
32600, 15188
32700, 9524
32800, 10466
32900, 15767
33000, 9264
33100, 6846
33200, -1066
33300, 111
33400, -3445
